Empresa,Años Experiencia,Email,Estado,Facturación Estimada,Notas,Notas Investigación,Presencia Digital,Prioridad,Provincia/País,Score ModulorIA,Tamaño Estimado,Teléfono,Ubicación,Web,Certificaciones,Sector,LinkedIn,Facebook,Instagram,Sector Específico,Fecha Primer Contacto,Servicios Potenciales,YouTube,Twitter/X,Última Interacción
Tobelem,40,comercial@tobelem.net,🆕 Sin Contactar,,Delegación Cártama (Málaga). Opera en Córdoba,"D.TOBELEM - Empresa construcción modular a medida. +40 años experiencia. Sede: Cártama, Málaga. Tel: 649 977 201, 952 32 52 00. Email: mailto:comercial@tobelem.net. ALQUILER y VENTA módulos prefabricados. Cobertura: Málaga, Cádiz, Córdoba, Sevilla, resto España. Productos: Casetas obra, oficinas modulares prefabricadas, contenedores marítimos, despachos, aseos, salas juntas, lounges, recepciones, oficinas técnicas, oficinas ventas promotoras/ferias. Módulos ADOSABLES y APILABLES para grandes conjuntos modulares. Fabricación a medida según necesidades proyecto. Propuestas personalizadas. Panel sándwich fachada. Target: Sector construcción, promotoras, eventos, empresas necesitando espacios temporales/permanentes Andalucía.",✅ Buena,⭐ Media,Córdoba,⭐⭐⭐ Buen Fit,🏬 Mediana (20-50 empleados),649 977 201,"Cártama, Málaga",tobelem.pro,,"Alquiler, Pavillones/Obra, Prefabricadas",,,,"Alquiler, Industrial, Prefabricados, Temporal",,,,,
Modular Home,,info@modularhome.es,🆕 Sin Contactar,💰 >10M€,FRANQUICIA NACIONAL. Red delegaciones toda España. Casas hormigón industrializadas. Modelo expansivo.,"MODULAR HOME - FRANQUICIA NACIONAL casas prefabricadas hormigón. Tel: 900 102 368. Email: mailto:info@modularhome.es. Web: http://modularhome.es. RED DELEGACIONES toda España (Córdoba, Baleares, Barcelona, Madrid, Valencia, Vizcaya, A Coruña, etc.). Sistema constructivo industrializado HORMIGÓN. Proceso: diseño, desarrollo, fabricación y montaje. Viviendas 100% personalizables. Reducción residuos e impacto ambiental. Cortos plazos entrega. Modelo franquicia para expansión. Tipos contacto: cliente particular, arquitecto, constructor, promotor, franquiciado. Target: Clientes toda España + franquiciados potenciales.",🚀 Excelente,🔥 Alta,Córdoba,⭐⭐⭐⭐⭐ Excelente Fit,🏢 Grande (50+ empleados),900 102 368,España,modularhome.es,,,,,,,,,,,
Prefabricasas Málaga,,,🆕 Sin Contactar,,Casas prefabricadas y modulares,,,⭐ Media,Málaga,,,675 929 883,Málaga,prefabricasasmalaga.com,,,,,,,,,,,
Casas CUBE,12,barcelona@casascube.com,🆕 Sin Contactar,💶 1-5M€,Pionera y líder en construcción de casas prefabricadas modulares,"EMPRESA PIONERA Y LÍDER casas prefabricadas modulares España. CASAS CUBE. Fundada 2013. Sede: CARBALLO, A Coruña (Galicia). Instalaciones: 30.000 m2 + 250 profesionales. Construcción entorno industrial controlado. PRECIO CERRADO transparente (construcción + trabajo técnico/gestión administrativa). Modelos: CUBE 100 (156.000€), CUBE 150 (205.350€), CUBE 160 (263.500€), CUBE 200 (282.600€), CUBE 300 (423.900€) + IVA. Puntos venta: La Coruña (Marineda City), Madrid (C.C.Xanadú), Asturias (C.C.Azabache). +450 viviendas construidas en 18 provincias. Sistema industrializado eficiente. 10 empleados. Facturación: $1.3M anual. LinkedIn: 1,986 followers.",🚀 Excelente,🔥 Alta,Barcelona,⭐⭐⭐⭐⭐ Excelente Fit,🏬 Mediana (20-50 empleados),609 200 742,"Cabrera de Mar, Barcelona",casasprefabricadascube.com,,,548,,,,,,,,
Casas inHAUS,,info@casasinhaus.com,🆕 Sin Contactar,,Casas prefabricadas hormigón modulares 100% personalizables. Sistema EMOHA,,,⭐ Media,Barcelona,,,900 102 961,"Almussafes, Valencia",casasinhaus.com,,,,,,,,,,,
Lancois Doval,,,❌ Descartado,,"Líder construcción industrializada modular. Viviendas, edificios","LANÇOIS DOVAL - ⚠️ IMPORTANTE: Búsquedas indican que http://lancoisdoval.es es PORTAL INMOBILIARIO LUJO, NO empresa construcción modular. Portal web nacional español dedicado EXCLUSIVAMENTE comercialización venta/alquiler propiedades prestigiosas activos inmobiliarios únicos. Proyecto web Drupal 7. Funcionalidades: Contenidos (comunicados prensa, páginas básicas, inmuebles), Propiedades geolocalizadas, Buscador navegación, Diseños modulares editables. Desarrollado 2014. Mantenimiento mejoras continuas. Proyecto Robert Menetray. NO constructora, NO casas modulares. ES: Portal marketing inmobiliario alto standing. ⚠️ Clasificación INCORRECTA base datos - NO pertenece sector construcción modular.",✅ Buena,💤 Baja,Salamanca,,🏠 Micro (<5 empleados),,Castilla y León,lancoisdoval.es,,,,,,,,,,,
Panelman,,daniel@panelman.es,🆕 Sin Contactar,,Casas prefabricadas de hormigón,"PANELMAN - ⚠️ IMPORTANTE: NO es empresa casas modulares viviendas completas. Especialistas PREFABRICADOS HORMIGÓN GRC (Glass Reinforced Concrete). Productos: Paneles GRC (hormigón ligero reforzado fibra vidrio), Barandillas prefabricadas hormigón, Escaleras hormigón, Pérgolas. Aplicaciones: Mobiliario urbano, Cerramientos, Fachadas, Escaleras, Parques. Ventajas GRC: Gran resistencia vs hormigón tradicional, Versatilidad, Flexibilidad impactos, Múltiples texturas/acabados/colores, Diseños exclusivos. Material innovador sector construcción. Alta resistencia. Sostenible medio ambiente. Blog: anclaje casas prefabricadas hormigón, cimentación. Target: Sector construcción tradicional necesitando elementos prefabricados, NO viviendas modulares completas.",✅ Buena,💤 Baja,Málaga,⭐ Bajo Fit,🏪 Pequeña (5-20 empleados),659 943 831,"Alhaurín de la Torre, Málaga",panelman.es,,,,,,,,,,,
Scandi Byg,47,info@scandibyg.dk,🆕 Sin Contactar,💰 >10M€,Más grande fabricante Dinamarca. +45 años experiencia. 175+ empleados. Certificación DGNB,"LÍDER DINAMARCA. Fundada 1977. 175-250 empleados. MTH GROUP / Nordic Wood. 18.000m2 producción. 100.000m2/año capacidad. DGNB + Nordic Swan. NOTA: Bancarrota enero 2025, reestructuración.",🚀 Excelente,🔥 Alta,Dinamarca,⭐⭐⭐⭐⭐ Excelente Fit,🏢 Grande (50+ empleados),+45 98 67 25 00,Løgstør,scandibyg.dk,"DGNB, Nordic Swan",,https://dk.linkedin.com/company/scandibyg,,,"Industrial, Madera, Prefabricados, Residencial, Sostenible/Eco",,,,,
Modular Home Málaga,,info@modularhome.es,🆕 Sin Contactar,,Delegación Málaga. Casas modulares eficientes,,,⭐ Media,Málaga,,,900 102 368,"Alameda Principal, 6 - Málaga",modularhome.es,,,,,,,,,,,
Arcitur Homes,,infoventas@arciturhomes.com,🆕 Sin Contactar,,Casas modulares Barcelona. 70% menos tiempo construcción. Proceso industrializado. Alta eficiencia energética.,"ARCITUR HOMES - CASAS MODULARES Y PREFABRICADAS Barcelona/Madrid. Oficinas: Paseo de la Castellana 40, planta 8, 28046 Madrid + Barcelona. Email: mailto:infoventas@arciturhomes.com, mailto:ventas@arciturhomes.com. Web: http://arciturhomes.com. Redes: Instagram, Facebook, TikTok (verificados en web). Construcción rápida 70% MENOS TIEMPO vs tradicional. Proceso industrializado control fábrica. Personalización total diseños únicos. Alta EFICIENCIA ENERGÉTICA materiales última generación. Aislamiento térmico acústico superior. Vivienda sostenible asequible excelente calidad-precio. Soluciones habitacionales innovadoras máxima calidad. Contacto: SOLO FORMULARIO WEB (solicitar presupuesto). Target: Clientes Barcelona/Madrid área metropolitana buscando casas modulares personalizadas.",✅ Buena,🔥 Alta,Barcelona,⭐⭐⭐⭐ Muy Buen Fit,🏪 Pequeña (5-20 empleados),,"Paseo de la Castellana 40, Planta 8, 28046 Madrid",arciturhomes.com,,,,https://www.facebook.com/Arciturhomes/,https://www.instagram.com/arci_tur/,,,,,,
Casas inHAUS,15,info@casasinhaus.com,🆕 Sin Contactar,💶 1-5M€,+20 proyectos Madrid. Casas modulares gama alta. Sistema 3D. +160 viviendas,"LÍDER NACIONAL HORMIGÓN PREMIUM. 99K seguidores Instagram. 5.6K LinkedIn followers. 16.5M€ facturación 2023 (+41% crecimiento). 160+ viviendas entregadas. Premio PYME Valencia 2023. IF Design Awards. Fundada 2015 hermanos Navarro (arquitectos UPV). Fábrica 15.000m² Almussafes. CEO: Rubén Navarro. Colaboración Morph Estudio. Exportación internacional (Florida, Paris). Ticket medio +22% YoY. Sistema 3D hormigón industrializado.",🚀 Excelente,⭐ Media,Madrid,⭐⭐⭐⭐⭐ Excelente Fit,🏢 Grande (50+ empleados),900 102 961,"Almussafes, Valencia",casasinhaus.com,,,https://www.linkedin.com/company/casas-inhaus-sl,,https://www.instagram.com/casasinhaus/,"Hormigón, Lujo/Alta Gama, Prefabricados, Residencial",,,,https://x.com/casasinhaus,
La Casa de Hormigón,30,comercial@lacasadehormigon.es,🆕 Sin Contactar,,Casas prefabricadas de hormigón modulares,"LA CASA DE HORMIGÓN - Empresa Madrid especializada CASAS MODULARES PREFABRICADAS HORMIGÓN. Amplia experiencia diseño, fabricación y montaje viviendas modulares hormigón. +30 años experiencia sector. Teléfono: 916 300 001. Servicios: Diseño construcción casas modulares, Fabricación paneles hormigón armado, Montaje rápido (pocos meses plazo entrega), Viviendas 100% personalizadas. Innovación excelencia cada proyecto. Expertos transformar ideas realidad habitable. Espacios combinan funcionalidad, estética, durabilidad. Construcción industrializada rápida limpia vs tradicional. Proyectos: Vivienda Astilleros, Obra civil, Interiores, Estructuras envolventes. Casas modulares hormigón Madrid diseño moderno eficiente asequible. Target: Clientes Madrid buscando viviendas prefabricadas hormigón personalizadas construcción rápida calidad.",🚀 Excelente,🔥 Alta,Madrid,⭐⭐⭐⭐⭐ Excelente Fit,🏬 Mediana (20-50 empleados),916 300 001,Madrid,lacasadehormigon.es,,,,,,,,,,,
Casas Kubera,40,info@casaskubera.com,🆕 Sin Contactar,💶 1-5M€,Pionera nacional viviendas modulares hormigón. 40 años. Exposición 7000m2,"CASAS KUBERA - Empresa PIONERA NACIONAL viviendas modulares hormigón. +40 años experiencia (fundada 1983). Sede: Alcorcón, Madrid. LÍDER y REFERENTE industria construcción modular. Exposición 7.000m². Tel: 640 99 15 96 (llamadas 10:00-14:00 solo para clientes con parcela). Redes: Facebook e Instagram activos. Dos líneas de diseño: MINIMALISTA (hormigón pulido, cubiertas planas, grandes ventanales) y RÚSTICA (acabados piedra, cubiertas inclinadas teja/pizarra). Transformaron concepto 'prefabricado' en opción premium. Construcción casas a medida según especificaciones cliente. Servicio integral: cimentación + fabricación + instalación. Target: Clientes buscando viviendas modulares hormigón alta calidad Madrid y nacional.",✅ Buena,🔥 Alta,Madrid,⭐⭐⭐⭐⭐ Excelente Fit,🏬 Mediana (20-50 empleados),640 99 15 96,"Alcorcón, Madrid",casaskubera.com,,"Modular Hormigón, Prefabricadas",,https://facebook.com/casaskubera,https://instagram.com/casaskubera,"Hormigón, Lujo/Alta Gama, Residencial",,,,,
KuBox Modular,,info@kuboxmodular.com,🆕 Sin Contactar,,"Casas modulares llave en mano. Terrazas, piscinas modulares","KUBOX MODULAR - ⚠️ IMPORTANTE: Resultados búsqueda muestran múltiples empresas diferentes nombre similar NO relacionadas España: KüBox (USA - cajas envío shipping crates), Kuubic Technology/Wonderful Structures (construcción biofílica), Kubox sistema camas modulares (muebles Lagrama). NO encontrada información clara empresa española construcción modular nombre 'KuBox Modular' web http://kuboxmodular.com. Posibles opciones: 1) Empresa muy pequeña/local sin presencia digital significativa, 2) Registro error/duplicado, 3) Empresa inactiva/cerrada. ⚠️ REQUIERE VERIFICACIÓN MANUAL o contacto directo determinar si empresa construcción modular española existe y está operativa.",❌ Pobre,💤 Baja,Córdoba,❓ Por Evaluar,❓ Desconocido,679 01 53 68,Ourense,kuboxmodular.com,,,,,,,,,,,
Casas Prefabricadas Murcia,,info@casas-prefabricadas-murcia.com,🆕 Sin Contactar,,Casas prefabricadas. Financiado por UE,,,⭐ Media,Murcia,,,968 236 526,Murcia,casas-prefabricadas-murcia.com,,,,,,,,,,,
Prefabix,,info@prefabix.com,🆕 Sin Contactar,,Construcción modular 45-60 días. 10 años garantía,,,⭐ Media,Sevilla,,,683 49 83 88,"Gelves, Sevilla",prefabix.com,,,,,,,,,,,
Level Prefabricados,,comercial@levelprefabricados.com,🆕 Sin Contactar,,Prefabricados hormigón. Líder sector. Empresa LOCAL Córdoba,"LEVEL PREFABRICADOS - ⚠️ IMPORTANTE: NO es empresa construcción modular viviendas. Especialistas PREFABRICADOS HORMIGÓN para obra civil. Ubicación: Puente Genil, CÓRDOBA. Productos: Bordillos (monocapa, bicapa), Adoquines bicapa, Forjados unidireccionales (hormigón, armados), Bloques (Arliblock, cerramiento, decorativos, carga, macizo, split), Coronaciones, elementos constructivos tradicionales. Certificación OCA. Target: Sector construcción tradicional, obra pública, infraestructuras. NO casas modulares. Enfoque: Elementos prefabricados para construcción convencional, pavimentos, muros, estructuras. Sistema producción industrial elementos hormigón.",⚠️ Regular,💤 Baja,Córdoba,⭐ Bajo Fit,🏬 Mediana (20-50 empleados),957 60 11 53,"Puente Genil, Córdoba",levelprefabricados.com,,,,,,,,,,,
Modular Home Madrid,,madrid@modularhome.es,🆕 Sin Contactar,,Sistema MH System con paneles hormigón armado. Fábrica propia. Entrega 6 meses,"Delegación Madrid (Las Rozas). Contacto de delegación verificado en web oficial: mailto:madrid@modularhome.es, 648 51 53 66 (también 682 12 10 46), C. José Echegaray, 18, 28232 Las Rozas de Madrid. Redes oficiales de la marca Modular Home: IG, FB, LinkedIn, X.",,⭐ Media,Madrid,,,648 51 53 66,Las Rozas de Madrid,modularhome.es,,,https://es.linkedin.com/company/casas-modular-home,https://www.facebook.com/modularhome.es,https://www.instagram.com/modular_home/,,,,,https://twitter.com/modular_home,
Domusmás,25,hola@domusmas.com,🆕 Sin Contactar,💶 1-5M€,LOCAL SALAMANCA. +25 años. Passivhaus + SATE. Hormigón industrializado.,"DOMUSMÁS - LOCAL SALAMANCA. +25 años experiencia. Tel: 609 421 648. Email: mailto:hola@domusmas.com. Web: http://domusmas.com. Código postal 37002. Especialistas viviendas industrializadas PASSIVE HOUSE y CLASE A. Materiales: hormigón industrializado + sistema SATE. Servicios: viviendas modulares, reformas, energía fotovoltaica, interiorismo. Enfoque eficiencia energética y sostenibilidad. Certificación Passivhaus. ⚠️ NOTA: Búsqueda profunda no encontró más detalles verificables sobre esta empresa específica. Requiere verificación directa contacto. Target: Clientes Salamanca y Castilla y León buscando viviendas eficientes.",✅ Buena,🔥 Alta,Salamanca,⭐⭐⭐⭐⭐ Excelente Fit,🏪 Pequeña (5-20 empleados),609 421 648,37002 Salamanca,domusmas.com,Passivhaus,,,,,"Hormigón, Passivhaus, Prefabricados, Residencial, Sostenible/Eco",,,,,
KuBox Modular,,info@kuboxmodular.com,🆕 Sin Contactar,,"Llave en mano. Terrazas, piscinas modulares",KUBOX MODULAR (duplicado) - ⚠️ IMPORTANTE: NO encontrada información empresa española construcción modular este nombre. Búsquedas muestran múltiples empresas internacionales diferentes NO relacionadas. Posible registro error/duplicado base datos. Requiere verificación manual.,❌ Pobre,💤 Baja,Sevilla,❓ Por Evaluar,❓ Desconocido,679 01 53 68,Ourense,kuboxmodular.com,,,,,,,,,,,
Emsamble,,info@emsamble.com,🆕 Sin Contactar,,Arquitectura modular inteligente. Llave en mano 5 meses. Casa pasiva,"EMSAMBLE - Arquitectura modular INTELIGENTE. Sede: Santiago de Compostela, GALICIA. Especialistas CASAS MODULARES PASIVAS gasto energético casi nulo. Sistema offsite: construcción fuera destino final. Fabricación: 60 días. Ensamblado: 24 HORAS. Innovación y mejora continua. Construcción taller con elementos conectados. Fachadas personalizables (incluido piedra). Proyectos modernos diseño actual. Alta demanda Galicia (pocos competidores construcción modular región). Apoyo IGAPE, FEDER, IEBT, CDTI, PEL. Featured TVG programa Que Casas. Construcción industrializada eficiente reduciendo costes montaje. Planificación y ejecución mejoradas. Target: Viviendas unifamiliares alto confort. Modelo ejemplo: 93m2 Santiago Compostela.",✅ Buena,🔥 Alta,Madrid,⭐⭐⭐⭐ Muy Buen Fit,🏪 Pequeña (5-20 empleados),981 306 846,"Narón, Galicia",emsamble.com,,,,,,,,,,,
Algeco Sevilla,,info@algeco.es,🆕 Sin Contactar,,Líder alquiler y venta. +30 años. Empresa local Sevilla,"ALGECO SEVILLA - Delegación Sevilla de ALGECO España. Mismos servicios que matriz: Líder construcción modular España. +50 años experiencia. Alquiler y venta módulos prefabricados. Casetas obra, oficinas, aulas, sanidad modular, contenedores, eventos. 20 delegaciones península. Red logística. Gran stock disponible. Soluciones temporales y permanentes. Versatilidad máxima. Target: Sector construcción, educación, sanidad, industrial Andalucía occidental.",🚀 Excelente,💤 Baja,Sevilla,⭐⭐ Fit Medio,🏢 Grande (50+ empleados),955 631 112,"Alcalá de Guadaira, Sevilla",algeco.es,,,,,,,,,,,
WES Panel,,comercial2@wespanel.com,🆕 Sin Contactar,,Casas prefabricadas y modulares,"WES Panel - Contacto verificado en web oficial: Tel +34 965 620 793 (Polígono de la Buitrera, Calle CM, B4, 03670 Monforte del Cid, Alicante). Email mailto:comercial2@wespanel.com. En aviso legal figura también email mailto:comercial@wespanel.com. No se encontraron enlaces oficiales claros a redes (solo menciones externas).",,⭐ Media,Alicante,,,965 620 793,"Monforte del Cid, Alicante",wespanel.com,,,,,,,,,,,
HR EL BOSS,,ventas@hrelbossdelaislamiento.com,🆕 Sin Contactar,,Soluciones construcción modular. Paneles sandwich,"HR EL BOSS del Aislamiento - Contacto verificado en web oficial: Dirección Autovía Alicante-Madrid KM 5, 03006 Alicante. Teléfonos: 623 291 382 y 621 304 720. Email principal: mailto:ventas@hrelbossdelaislamiento.com (en la página también aparecen emails alternativos como mailto:ventas@proefitec.com). En la página revisada no aparecen enlaces oficiales a redes sociales; sí aparece enlace a WhatsApp.",,⭐ Media,Alicante,,,623 291 382,"Autovía Alicante-Madrid KM 5, 03006 Alicante",hrelbossdelaislamiento.com,,,,,,,,,,,
Prefabrik Alicante,,contacto@prefabrik.es,🆕 Sin Contactar,,Venta casas modulares. Servicio completo,Prefabrik (delegación/entrada Alicante en BD) - Email de contacto: mailto:contacto@prefabrik.es. En la web se dirige a formulario de presupuesto/contacto y no se ve teléfono directo en la home revisada. Facebook encontrado (misma página usada en Prefabrik).,,⭐ Media,Alicante,,,,Alicante,prefabrik.es,,,,https://www.facebook.com/prefabrikes/?locale=es_LA,,,,,,,
Prefabrik,30,contacto@prefabrik.es,🆕 Sin Contactar,💶 1-5M€,Catálogo casas modulares,"Empresa consolidada construcción prefabricada. +30 años experiencia. Nacional, múltiples delegaciones España. Colabora con mejores proveedores España (auditorías rigurosas). Target: B2C residencial clase media. Sectores: Residencial (casas hormigón, madera, modulares, lujo, rústicas), Industrial. Sistema: Fabricación taller controlado + ensamblaje sitio. Precio cerrado, presupuestos transparentes. Modelos: Encina (rústica), personalización amplia. Eficiencia energética, aislamiento térmico avanzado. Reducción 30-40% costes vs construcción tradicional. Plazos: Pocos meses vs año+ tradicional. SIN presencia digital activa encontrada (no LinkedIn empresa, no Instagram verificado). FIT MODULORIA BUENO (⭐⭐⭐): Empresa mediana consolidada 30 años, precio cerrado atractivo, PERO sin LinkedIn/Instagram activo = señal negativa adopción digital. Target B2C económico, no premium. Servicios AI limitados sin infraestructura digital.",⚠️ Regular,⭐ Media,Valencia,⭐⭐⭐ Buen Fit,🏬 Mediana (20-50 empleados),,Nacional (Valencia),prefabrik.es,,,,,,"Industrial, Prefabricados, Residencial",,,,,
Mel Arquitectura,,estudi@melarquitectura.com,🆕 Sin Contactar,,Viviendas modulares personalizadas y sostenibles,"MEL ARQUITECTURA - ⚠️ IMPORTANTE: En esta fila la web cargada es http://melzarquitectura.es (Alicante), pero la búsqueda de contacto con datos verificables apunta a http://melarquitectura.com (Cala Figuera, Baleares) con email mailto:estudi@melarquitectura.com e Instagram @melarquitectura. Puede ser homónimo / registro mezclado. Recomiendo confirmar si esta fila corresponde a Mel Arquitectura (Baleares) o a MELZ Arquitectura (Alicante) antes de contactar.",⚠️ Regular,💤 Baja,Alicante,⭐⭐ Fit Medio,🏠 Micro (<5 empleados),,Alicante,melzarquitectura.es,,,,,https://www.instagram.com/melarquitectura/,,,,,,
Modular Home,,info@modularhome.es,🆕 Sin Contactar,,Casas prefabricadas hormigón. Sistema MH System,,,⭐ Media,Salamanca,,,900 102 368,España,modularhome.es,,,,,,,,,,,
Moodul,,info@moodul.es,🆕 Sin Contactar,,"Construcción industrializada. Entrega 5 meses. Essence, Prime, Prestige","MOODUL (duplicado) - Misma información: Empresa casas modulares prefabricadas hormigón. Simplificación proceso construcción. Plazos definidos, Presupuesto cerrado, Todo bajo control. Casas modulares calidad. Target: Clientes buscando simplificación construcción casa perfecta.",🚀 Excelente,🔥 Alta,Barcelona,⭐⭐⭐⭐⭐ Excelente Fit,🏪 Pequeña (5-20 empleados),977 424 274,"L'Hospitalet de l'Infant, Tarragona",moodul.es,,,,,,,,,,,
D. Tobelem,,comercial@tobelem.net,🆕 Sin Contactar,,Alquiler y venta módulos prefabricados,,,⭐ Media,Málaga,,,649 977 201,Málaga,tobelem.net,,,,,,,,,,,
Studio HC,,info@studiohc.es,🆕 Sin Contactar,,Casas modulares de madera. +8 años experiencia,"Studio HC - Contacto verificado en web oficial: Calle Pardo Gimeno 11C, 03007 Alicante. Tel. 966 275 331. Email mailto:info@studiohc.es. Redes enlazadas en web: Instagram, Facebook, Pinterest y LinkedIn.",,⭐ Media,Alicante,,,966 275 331,Alicante,studiohc.es,,,https://www.linkedin.com/company/grupo-studio-hc/?originalSubdomain=es,https://www.facebook.com/studio.hc.arq/,https://www.instagram.com/studiohc/?hl=es,,,,,,
